section,key,english,malayalam,notes
footer,footer.metaWorkshop,Workshop,വർക്ക്‌ഷോപ്പ്,Label for date
footer,footer.metaVenue,Venue,വേദി,"Label for ""IMA House, Cochin"""
footer,footer.metaDocument,Document,പ്രമാണം,"Label for ""v1.0"""
footer,footer.copyright,© {year} NNHC · One Health initiative · Maintained by IMA Cochin.,© {വർഷം} NNHC · വൺ ഹെൽത്ത് സംരംഭം · IMA കൊച്ചിൻ പരിപാലിക്കുന്നു.,"{year} dynamic; keep ""NNHC"" and ""IMA Cochin"" untranslated"
footer,footer.workshopLine,VISIONING WORKSHOP · {date},വിഷനിംഗ് വർക്ക്‌ഷോപ്പ് · {date},All-caps tracking label
# === HOME · HERO ===,,,,
home,home.hero.line1,"Care at home,","വീട്ടിൽ പരിചരണം,",Hero headline line 1
home,home.hero.line2,supported by your,നിങ്ങളുടെ പിന്തുണയോടെ,Hero headline line 2
home,home.hero.line2Italic,neighbourhood.,അയൽപ്പക്കം.,Hero italic accent word
home,home.hero.lede,"The Neighbourhood Network in Health Care is a community-led, home-based healthcare system. It empowers neighbourhoods, restores the family doctor, and brings continuous care to where people actually live.","ആരോഗ്യ പരിപാലനത്തിലെ അയൽപക്ക ശൃംഖല, സമൂഹം നയിക്കുന്ന, വീടുകളിൽ പ്രവർത്തിക്കുന്ന ഒരു ആരോഗ്യ സംരക്ഷണ സംവിധാനമാണ്. ഇത് അയൽപക്കങ്ങളെ ശാക്തീകരിക്കുകയും, കുടുംബ ഡോക്ടറെ പുനഃസ്ഥാപിക്കുകയും, ആളുകൾ യഥാർത്ഥത്തിൽ താമസിക്കുന്നിടത്തേക്ക് തുടർച്ചയായ പരിചരണം നൽകുകയും ചെയ്യുന്നു.","Italicise ""family doctor"""
home,home.hero.ctaPrimary,Read the vision,ദർശനം വായിക്കുക.,Primary hero CTA button
home,home.hero.ctaSecondary,How to engage,എങ്ങനെ ഇടപെടാം,Secondary hero CTA button
home,home.hero.statStakeholders,Stakeholders convened,പങ്കാളികളെ വിളിച്ചുകൂട്ടി,Stat label (value 30+)
home,home.hero.statTracks,Mission tracks,മിഷൻ ട്രാക്കുകൾ,Stat label (value 5)
home,home.hero.statSections,Vision sections,ദർശന വിഭാഗങ്ങൾ,Stat label (value 7)
home,home.hero.statNeighbourhood,Neighbourhood at a time,ഒരു സമയത്ത് അയൽപക്കം,Stat label (value 1)
# === HOME · FRICTIONS ===,,,,
home,home.frictions.kicker,The Problem,പ്രശ്നം,
home,home.frictions.titleLine1,Your healthcare isn't broken.,നിങ്ങളുടെ ആരോഗ്യ സംരക്ഷണം തകർന്നിട്ടില്ല.,
home,home.frictions.titleLine2,It's broken apart.,അത് തകർന്നു.,"Italicise ""apart"""
home,home.frictions.lede,"Five frictions came up in every room, across every stakeholder group. We refuse to design around any of them.","ഓരോ മുറിയിലും, ഓരോ പങ്കാളി ഗ്രൂപ്പിലും അഞ്ച് സംഘർഷങ്ങൾ ഉയർന്നുവന്നു. അവയിൽ ഏതെങ്കിലുമൊന്നിന് ചുറ്റും രൂപകൽപ്പന ചെയ്യാൻ ഞങ്ങൾ വിസമ്മതിക്കുന്നു.",
home,home.frictions.1.kicker,Capacity,ശേഷി,
home,home.frictions.1.title,Hospitals are overwhelmed,ആശുപത്രികൾ നിറഞ്ഞുകവിഞ്ഞിരിക്കുന്നു,
home,home.frictions.1.synopsis,Tertiary beds carry conditions that belong at home.,മൂന്നാമത്തെ കിടക്കകൾ വീട്ടിൽ തന്നെയുള്ള സാഹചര്യങ്ങൾ വഹിക്കുന്നു.,
home,home.frictions.1.body,"Specialist hospitals are absorbing routine, manageable conditions because the layer beneath them has thinned out. Beds meant for surgery and intensive care fill with diabetes follow-ups and chronic wounds - spending the system's scarcest capacity on work it was never designed for.","സ്പെഷ്യലിസ്റ്റ് ആശുപത്രികൾക്ക് താഴെയുള്ള പാളി നേർത്തു പോയതിനാൽ, അവ പതിവ്, കൈകാര്യം ചെയ്യാവുന്ന സാഹചര്യങ്ങളെ ആഗിരണം ചെയ്യുന്നു. ശസ്ത്രക്രിയയ്ക്കും തീവ്രപരിചരണത്തിനുമുള്ള കിടക്കകൾ പ്രമേഹ ഫോളോ-അപ്പുകളും വിട്ടുമാറാത്ത മുറിവുകളും കൊണ്ട് നിറഞ്ഞിരിക്കുന്നു - സിസ്റ്റത്തിന്റെ ഏറ്റവും കുറഞ്ഞ ശേഷി ഒരിക്കലും രൂപകൽപ്പന ചെയ്തിട്ടില്ലാത്ത ജോലികൾക്കായി ചെലവഴിക്കുന്നു.",
home,home.frictions.2.kicker,Continuity,തുടർച്ച,
home,home.frictions.2.title,The family doctor is missing,കുടുംബ ഡോക്ടറെ കാണാനില്ല.,
home,home.frictions.2.synopsis,Episodic visits replaced the longitudinal relationship.,എപ്പിസോഡിക് സന്ദർശനങ്ങൾ ദീർഘകാല ബന്ധത്തെ മാറ്റിസ്ഥാപിച്ചു.,
home,home.frictions.2.body,"The clinician who knew a household across years - births, bereavements, the slow drift of a blood pressure reading - has been replaced by a stream of one-off encounters. Each visit starts from zero. Context, memory, and judgement that used to compound now reset every time.","വർഷങ്ങളായി ഒരു കുടുംബത്തെ അറിയാമായിരുന്ന ക്ലിനീഷ്യൻ - ജനനങ്ങൾ, മരണങ്ങൾ, രക്തസമ്മർദ്ദ വായനയുടെ സാവധാനത്തിലുള്ള വ്യതിയാനം - ഇപ്പോൾ ഒറ്റത്തവണയുള്ള കണ്ടുമുട്ടലുകളുടെ ഒരു പ്രവാഹത്താൽ മാറ്റിസ്ഥാപിക്കപ്പെട്ടിരിക്കുന്നു. ഓരോ സന്ദർശനവും പൂജ്യത്തിൽ നിന്നാണ് ആരംഭിക്കുന്നത്. മുമ്പ് സങ്കീർണ്ണമാക്കിയിരുന്ന സന്ദർഭം, ഓർമ്മ, വിധിന്യായം എന്നിവ ഇപ്പോൾ ഓരോ തവണയും പുനഃസജ്ജീകരിക്കപ്പെടുന്നു.",
home,home.frictions.3.kicker,Geography,ഭൂമിശാസ്ത്രം,
home,home.frictions.3.title,Care is geographically uneven,പരിചരണം ഭൂമിശാസ്ത്രപരമായി അസമമാണ്.,
home,home.frictions.3.synopsis,Postcode still decides the standard of care.,പരിചരണത്തിന്റെ നിലവാരം ഇപ്പോഴും തീരുമാനിക്കുന്നത് പോസ്റ്റ് കോഡാണ്.,
home,home.frictions.3.body,"Two families three kilometres apart can receive entirely different care for the same condition - different drugs, different waits, different outcomes. The unevenness isn't just rural versus urban; it lives between neighbouring wards, between one panchayat and the next.","മൂന്ന് കിലോമീറ്റർ അകലെയുള്ള രണ്ട് കുടുംബങ്ങൾക്ക് ഒരേ അവസ്ഥയ്ക്ക് തികച്ചും വ്യത്യസ്തമായ പരിചരണം ലഭിക്കും - വ്യത്യസ്ത മരുന്നുകൾ, വ്യത്യസ്ത കാത്തിരിപ്പുകൾ, വ്യത്യസ്ത ഫലങ്ങൾ. ഗ്രാമപ്രദേശങ്ങളും നഗരപ്രദേശങ്ങളും മാത്രമല്ല ഈ അസമത്വം; അയൽ വാർഡുകൾക്കിടയിലും ഒരു പഞ്ചായത്തിനും അടുത്ത പഞ്ചായത്തിനും ഇടയിലാണ് ഇത് നിലനിൽക്കുന്നത്.","Keep ""panchayat"" untranslated"
home,home.frictions.4.kicker,Cost,ചെലവ്,
home,home.frictions.4.title,Costs spiral with no upper bound,ഉയർന്ന പരിധിയില്ലാത്ത ചെലവുകൾ സർപ്പിളമാണ്,
home,home.frictions.4.synopsis,Out-of-pocket spend pushes households into poverty.,പോക്കറ്റിൽ നിന്ന് പണം ചെലവഴിക്കുന്നത് കുടുംബങ്ങളെ ദാരിദ്ര്യത്തിലേക്ക് തള്ളിവിടുന്നു.,
home,home.frictions.4.body,"Indian households still pay for most of their healthcare directly, at the point of use. A single hospitalisation can wipe out a year of savings; a chronic condition can quietly drain a generation of them. Financial protection remains the exception, not the rule.","ഇന്ത്യൻ കുടുംബങ്ങൾ ഇപ്പോഴും അവരുടെ ആരോഗ്യ സംരക്ഷണത്തിന്റെ ഭൂരിഭാഗവും നേരിട്ട്, ഉപയോഗ സമയത്ത് തന്നെ വഹിക്കുന്നു. ഒരൊറ്റ ആശുപത്രിയിൽ പ്രവേശനം ഒരു വർഷത്തെ സമ്പാദ്യം ഇല്ലാതാക്കും; ഒരു വിട്ടുമാറാത്ത രോഗം അവരുടെ ഒരു തലമുറയെ നിശബ്ദമായി ചോർത്തിക്കളയും. സാമ്പത്തിക സംരക്ഷണം ഒരു അപവാദമായി തുടരുന്നു, നിയമമല്ല.",
home,home.frictions.5.kicker,Tooling,ഉപകരണങ്ങൾ നിർമ്മിക്കൽ,
home,home.frictions.5.title,Technology is fragmented,സാങ്കേതികവിദ്യ വിഘടിച്ചിരിക്കുന്നു,
home,home.frictions.5.synopsis,Records live in silos. Devices don't talk.,റെക്കോർഡുകൾ സിലോകളിൽ തങ്ങിനിൽക്കുന്നു. ഉപകരണങ്ങൾ സംസാരിക്കുന്നില്ല.,
home,home.frictions.5.body,"Hospital EMRs, lab systems, pharmacy records, and home-care apps each hold a slice of the truth and refuse to share. Patients carry paper between specialists who never meet, and clinicians make decisions on whichever fragment they can see.","ആശുപത്രി ഇ.എം.ആറുകൾ, ലാബ് സംവിധാനങ്ങൾ, ഫാർമസി രേഖകൾ, ഹോം-കെയർ ആപ്പുകൾ എന്നിവയിൽ ഓരോന്നും സത്യത്തിന്റെ ഒരു ഭാഗം ഉൾക്കൊള്ളുകയും പങ്കിടാൻ വിസമ്മതിക്കുകയും ചെയ്യുന്നു. ഒരിക്കലും കണ്ടുമുട്ടാത്ത സ്പെഷ്യലിസ്റ്റുകൾക്കിടയിൽ രോഗികൾ പേപ്പർ കൊണ്ടുപോകുന്നു, കൂടാതെ ഡോക്ടർമാർ അവർക്ക് കാണാൻ കഴിയുന്ന ഏത് ഭാഗത്തെക്കുറിച്ചും തീരുമാനങ്ങൾ എടുക്കുന്നു.","Keep ""EMR"" untranslated"
# === HOME · TESTIMONIALS ===,,,,
home,home.testimonies.kicker,Testimony,സാക്ഷ്യം,
home,home.testimonies.titleLine1,Vision echoed by,ദർശനം പ്രതിധ്വനിച്ചത്,
home,home.testimonies.titleLine2,society leaders.,സമൂഹ നേതാക്കൾ.,"Italicise ""leaders"""
home,home.testimonies.1.quote,"Reduce hospital dependency, control healthcare costs, and revive the family doctor system.","ആശുപത്രി ആശ്രിതത്വം കുറയ്ക്കുക, ആരോഗ്യ സംരക്ഷണ ചെലവുകൾ നിയന്ത്രിക്കുക, കുടുംബ ഡോക്ടർ സംവിധാനത്തെ പുനരുജ്ജീവിപ്പിക്കുക.",
home,home.testimonies.2.quote,The neighbourhood is the smallest unit at which trust still exists at scale. Build there.,വിശ്വാസം ഇപ്പോഴും വലിയ തോതിൽ നിലനിൽക്കുന്ന ഏറ്റവും ചെറിയ യൂണിറ്റാണ് അയൽപക്കം. അവിടെ കെട്ടിപ്പടുക്കുക.,
home,home.testimonies.3.quote,We don't need another vertical. We need a horizontal that connects what already exists.,നമുക്ക് മറ്റൊരു ലംബ രേഖ ആവശ്യമില്ല. നിലവിലുള്ളതിനെ ബന്ധിപ്പിക്കുന്ന ഒരു തിരശ്ചീന രേഖയാണ് നമുക്ക് വേണ്ടത്.,
home,home.testimonies.4.quote,Continuity of care is not a feature. It's the product.,പരിചരണത്തിന്റെ തുടർച്ച ഒരു സവിശേഷതയല്ല. അത് ഉൽപ്പന്നമാണ്.,
home,home.testimonies.seeAll,See all voices,എല്ലാ ശബ്ദങ്ങളും കാണുക,Link label
home,home.testimonies.filteredBy,Filtered by group,ഗ്രൂപ്പ് അനുസരിച്ച് ഫിൽട്ടർ ചെയ്‌തു,
# === HOME · PRINCIPLES ===,,,,
home,home.principles.kicker,Principles,തത്വങ്ങൾ,
home,home.principles.titleLine1,Five things we,അഞ്ച് കാര്യങ്ങൾ നമ്മൾ,
home,home.principles.titleLine1Italic,refuse,നിരസിക്കുക,Italic accent word
home,home.principles.titleLine2,to lose.,തോൽക്കാൻ.,
home,home.principles.lede,Every architectural decision the network makes is tested against these. They are the floor - not the ceiling.,നെറ്റ്‌വർക്ക് എടുക്കുന്ന ഓരോ വാസ്തുവിദ്യാ തീരുമാനവും ഇവയ്‌ക്കെതിരെ പരീക്ഷിക്കപ്പെടുന്നു. അവ തറയാണ് - സീലിംഗല്ല.,
# === HOME · TOC ===,,,,
home,home.toc.kicker,Front Matter,പ്രധാന കാര്യം,
home,home.toc.titlePrefix,Where would you like to,നിങ്ങൾക്ക് എവിടെയാണ് ഇഷ്ടം?,
home,home.toc.titleItalic,begin,ആരംഭിക്കുന്നു,Italic word at end of question
home,home.toc.section1.title,Vision & Model,ദർശനവും മാതൃകയും,
home,home.toc.section1.note,"A continuous fabric of care, organised around five stakeholder groups.",അഞ്ച് പങ്കാളി ഗ്രൂപ്പുകളെ ചുറ്റിപ്പറ്റി സംഘടിപ്പിച്ച തുടർച്ചയായ പരിചരണ ഘടന.,
home,home.toc.section2.title,Mission,ദൗത്യം,
home,home.toc.section2.note,Five tracks that move vision into operation.,ദർശനത്തെ പ്രവർത്തനത്തിലേക്ക് നയിക്കുന്ന അഞ്ച് ട്രാക്കുകൾ.,
home,home.toc.section3.title,Roadmap,റോഡ്മാപ്പ്,
home,home.toc.section3.note,From convening to measurable population impact.,സമ്മേളനം മുതൽ അളക്കാവുന്ന ജനസംഖ്യാ ആഘാതം വരെ.,
home,home.toc.section4.title,Voices,ശബ്ദങ്ങൾ,
home,home.toc.section4.note,The people who showed up - and what they said.,വന്ന ആളുകളും - അവർ പറഞ്ഞതും.,
home,home.toc.section5.title,Engage,ഇടപെടുക,
home,home.toc.section5.note,"Where you fit, and what to do next.","നിങ്ങൾ എവിടെയാണ് യോജിക്കുന്നത്, അടുത്തതായി എന്തുചെയ്യണം.",
home,home.toc.section6.title,About,കുറിച്ച്,
home,home.toc.section6.note,"Challenges, FAQ, and glossary.","വെല്ലുവിളികൾ, പതിവുചോദ്യങ്ങൾ, പദാവലി.",
# === HOME · INSIGHTS ===,,,,
home,home.insights.kicker,From the Workshop,വർക്ക്‌ഷോപ്പിൽ നിന്ന്,
home,home.insights.titleLine1,"Ten themes,","പത്ത് വിഷയങ്ങൾ,",
home,home.insights.titleLine2,one room.,ഒരു മുറി.,Italicise this line
home,home.insights.lede,"Notes from the Visioning Workshop - patterns that recurred across clinicians, policy-makers, technologists, and community leaders.","വിഷനിംഗ് വർക്ക്‌ഷോപ്പിൽ നിന്നുള്ള കുറിപ്പുകൾ - ക്ലിനിക്കുകൾ, നയരൂപീകരണക്കാർ, സാങ്കേതിക വിദഗ്ധർ, കമ്മ്യൂണിറ്റി നേതാക്കൾ എന്നിവരിൽ ആവർത്തിച്ച പാറ്റേണുകൾ.",
# === HOME · ENGAGE CTA ===,,,,
home,home.engageCta.pillLabel,Engage,ഇടപെടുക,
home,home.engageCta.pillCount,06 Pathways,06 പാതകൾ,
home,home.engageCta.titleLine1,Many roles.,നിരവധി വേഷങ്ങൾ.,
home,home.engageCta.titleLine2,Many pathways.,നിരവധി വഴിത്തിരിവുകൾ.,
home,home.engageCta.titleLine3,One network.,ഒരു നെറ്റ്‌വർക്ക്.,Italicise this line
home,home.engageCta.lede,"Clinician, policy-maker, technologist, community organiser, or researcher - there is a clear way in.","ക്ലിനീഷ്യൻ, നയരൂപീകരണ വിദഗ്ദ്ധൻ, സാങ്കേതിക വിദഗ്ദ്ധൻ, കമ്മ്യൂണിറ്റി സംഘാടകൻ, അല്ലെങ്കിൽ ഗവേഷകൻ - ഇവർക്ക് വ്യക്തമായ ഒരു വഴിയുണ്ട്.",
home,home.engageCta.button,Find your pathway,നിങ്ങളുടെ പാത കണ്ടെത്തുക,
# === MODEL PAGE ===,,,,
model,model.meta.title,Vision and Model,ദർശനവും മാതൃകയും,
model,model.meta.description,"The NNHC vision and the Star Model that operationalises it - one continuous fabric of care, five stakeholder groups around one shared centre.","എൻ‌എൻ‌എച്ച്‌സി ദർശനവും അത് പ്രാവർത്തികമാക്കുന്ന നക്ഷത്ര മാതൃകയും - തുടർച്ചയായ പരിചരണത്തിന്റെ ഒരു ഘടന, ഒരു പങ്കിട്ട കേന്ദ്രത്തിന് ചുറ്റും അഞ്ച് പങ്കാളി ഗ്രൂപ്പുകൾ.",
model,model.hero.pillIndex,P1,പി1,
model,model.hero.pillLabel,Vision and operating structure,ദർശനവും പ്രവർത്തന ഘടനയും,
model,model.hero.titlePrefix,A single continuous,തുടർച്ചയായ ഒറ്റത്തവണ,
model,model.hero.titleItalic,fabric of care.,പരിചരണത്തിന്റെ തുണി.,
model,model.hero.lede,"Homes, neighbourhoods, family clinics, hospitals, and community research and training centres operate as one connected system - not five separate domains. Below: the principles that anchor the work, the model that organises it, and the method that puts it into motion.","വീടുകൾ, അയൽപക്കങ്ങൾ, കുടുംബ ക്ലിനിക്കുകൾ, ആശുപത്രികൾ, കമ്മ്യൂണിറ്റി ഗവേഷണ പരിശീലന കേന്ദ്രങ്ങൾ എന്നിവ അഞ്ച് വ്യത്യസ്ത മേഖലകളായിട്ടല്ല - പരസ്പരം ബന്ധിപ്പിച്ച ഒരു സംവിധാനമായിട്ടാണ് പ്രവർത്തിക്കുന്നത്. താഴെപ്പറയുന്നവ: ജോലിയെ നങ്കൂരമിടുന്ന തത്വങ്ങൾ, അത് സംഘടിപ്പിക്കുന്ന മാതൃക, അത് ചലിപ്പിക്കുന്ന രീതി.",
model,model.rail.vision,The vision,ദർശനം,
model,model.rail.principles,Principles,തത്വങ്ങൾ,
model,model.rail.star,Star Model,സ്റ്റാർ മോഡൽ,
model,model.rail.method,Method,രീതി,
model,model.vision.sectionTitle,"One fabric, not five domains.","അഞ്ച് ഡൊമെയ്‌നുകളല്ല, ഒരു തുണി.",
model,model.vision.body1,"The NNHC initiative envisions a healthcare ecosystem where homes, neighbourhoods, family clinics, hospitals, and community research and training centres operate as a single continuous fabric of care.","വീടുകൾ, അയൽപക്കങ്ങൾ, കുടുംബ ക്ലിനിക്കുകൾ, ആശുപത്രികൾ, കമ്മ്യൂണിറ്റി ഗവേഷണ പരിശീലന കേന്ദ്രങ്ങൾ എന്നിവ തുടർച്ചയായ പരിചരണത്തിന്റെ ഒരു ഘടനയായി പ്രവർത്തിക്കുന്ന ഒരു ആരോഗ്യ സംരക്ഷണ ആവാസവ്യവസ്ഥയെയാണ് NNHC സംരംഭം വിഭാവനം ചെയ്യുന്നത്.",
model,model.vision.body2,"The model integrates these layers into one connected system rather than treating each as a separate domain. It works upstream - building health, preventing disease, and revising the structure of primary care so that hospitals are the exception rather than the default.","ഈ പാളികളെ ഓരോന്നിനെയും പ്രത്യേക ഡൊമെയ്‌നായി കണക്കാക്കുന്നതിനുപകരം ഒരൊറ്റ ബന്ധിത സംവിധാനത്തിലേക്ക് സംയോജിപ്പിക്കുന്നതാണ് ഈ മോഡൽ. ആരോഗ്യം കെട്ടിപ്പടുക്കുക, രോഗം തടയുക, പ്രാഥമിക പരിചരണത്തിന്റെ ഘടന പരിഷ്കരിക്കുക എന്നിവയിലൂടെ ആശുപത്രികൾ സ്ഥിരസ്ഥിതിയേക്കാൾ അപവാദമായി മാറുന്നു.",
model,model.vision.asideLabel,Note,കുറിപ്പ്,
model,model.vision.asideTitlePrefix,"What this is, and what it","ഇത് എന്താണ്, എന്താണ്",
model,model.vision.asideTitleItalic,is not.,അല്ല.,
model,model.vision.asideBody,"Kerala's palliative care movement, including IMA Arike, has demonstrated that communities can hold responsibility for end-of-life care. NNHC builds on that proof but answers a different question - where palliative care meets a person at the end of life, NNHC works upstream.","ജീവിതാവസാന പരിചരണത്തിന്റെ ഉത്തരവാദിത്തം സമൂഹങ്ങൾക്ക് വഹിക്കാൻ കഴിയുമെന്ന് കേരളത്തിലെ പാലിയേറ്റീവ് കെയർ പ്രസ്ഥാനം, ഐഎംഎ അരികെ ഉൾപ്പെടെ, തെളിയിച്ചിട്ടുണ്ട്. എൻഎൻഎച്ച്സി ആ തെളിവിനെ അടിസ്ഥാനമാക്കിയാണ് നിർമ്മിക്കുന്നത്, പക്ഷേ വ്യത്യസ്തമായ ഒരു ചോദ്യത്തിന് ഉത്തരം നൽകുന്നു - ജീവിതാവസാനത്തിൽ പാലിയേറ്റീവ് കെയർ ഒരു വ്യക്തിയെ കണ്ടുമുട്ടുന്നിടത്ത്, എൻഎൻഎച്ച്സി അപ്‌സ്ട്രീമിൽ പ്രവർത്തിക്കുന്നു.",
model,model.principles.sectionTitle,Five guiding principles.,അഞ്ച് മാർഗ്ഗനിർദ്ദേശ തത്വങ്ങൾ.,
model,model.star.sectionTitle,"Five stakeholder groups, one shared centre.","അഞ്ച് പങ്കാളി ഗ്രൂപ്പുകൾ, ഒരു പങ്കിട്ട കേന്ദ്രം.",
model,model.star.lede,"Care@Home sits at the centre, with five distinct stakeholder groups converging around it. Each brings a different form of capability; together they form the operational structure of the network.",അഞ്ച് വ്യത്യസ്ത പങ്കാളി ഗ്രൂപ്പുകളുമായി ഒത്തുചേരുന്ന Care@Home കേന്ദ്രബിന്ദുവാണ്. ഓരോന്നും വ്യത്യസ്തമായ ശേഷി നൽകുന്നു; അവ ഒരുമിച്ച് നെറ്റ്‌വർക്കിന്റെ പ്രവർത്തന ഘടനയെ രൂപപ്പെടുത്തുന്നു.,"Keep ""Care@Home"" untranslated"
model,model.method.sectionTitle,"From vision to action - needs, services, gaps.","ദർശനത്തിൽ നിന്ന് പ്രവൃത്തിയിലേക്ക് - ആവശ്യങ്ങൾ, സേവനങ്ങൾ, വിടവുകൾ.",
model,model.method.ctaKicker,What comes next,അടുത്തതായി എന്ത് വരും?,
model,model.method.ctaTitle,The model compiles into five operating tracks.,ഈ മോഡൽ അഞ്ച് ഓപ്പറേറ്റിംഗ് ട്രാക്കുകളായി കംപൈൽ ചെയ്യുന്നു.,
model,model.method.ctaBody,"Each track has an owner, an output, and a hand-off into the next. Read how the work moves from convening to deployment.","ഓരോ ട്രാക്കിനും ഒരു ഉടമ, ഒരു ഔട്ട്‌പുട്ട്, അടുത്തതിലേക്ക് ഒരു കൈമാറ്റ സംവിധാനം എന്നിവയുണ്ട്. കൺവീനിംഗിൽ നിന്ന് വിന്യാസത്തിലേക്ക് ജോലി എങ്ങനെ നീങ്ങുന്നുവെന്ന് വായിക്കുക.",
model,model.method.ctaButton,Mission specs,ദൗത്യ സവിശേഷതകൾ,
# === MISSION PAGE ===,,,,
mission,mission.meta.title,Mission Specs,മിഷൻ സവിശേഷതകൾ,
mission,mission.hero.pillIndex,P2,പി2,
mission,mission.hero.pillLabel,Operating system · {count} tracks,ഓപ്പറേറ്റിംഗ് സിസ്റ്റം · {count} ട്രാക്കുകൾ,{count} dynamic
mission,mission.hero.titlePrefix,Five tracks that move,ചലിക്കുന്ന അഞ്ച് ട്രാക്കുകൾ,
mission,mission.hero.titleItalic,vision into operation.,ദർശനം പ്രവർത്തനക്ഷമമാക്കുക.,
mission,mission.hero.lede,"Each track has a clear owner, a clear output, and feeds into the next. Together they form a complete operating system for community-led healthcare.","ഓരോ ട്രാക്കിനും വ്യക്തമായ ഒരു ഉടമയും വ്യക്തമായ ഒരു ഔട്ട്പുട്ടും ഉണ്ട്, അടുത്തതിലേക്ക് ഫീഡ് ചെയ്യുന്നു. സമൂഹം നയിക്കുന്ന ആരോഗ്യ സംരക്ഷണത്തിനായി അവർ ഒരുമിച്ച് ഒരു സമ്പൂർണ്ണ ഓപ്പറേറ്റിംഗ് സിസ്റ്റം രൂപപ്പെടുത്തുന്നു.",
mission,mission.hero.stat1.label,Tracks,ട്രാക്കുകൾ,
mission,mission.hero.stat2.label,Operating system,ഓപ്പറേറ്റിംഗ് സിസ്റ്റം,
mission,mission.hero.stat3.label,Days to first dashboard,ആദ്യ ഡാഷ്‌ബോർഡിലേക്കുള്ള ദിവസങ്ങൾ,
mission,mission.hero.stat4.label,Districts in scope,പരിധിയിലുള്ള ജില്ലകൾ,
mission,mission.tracks.railLabel,Track,ട്രാക്ക്,Sticky rail label
mission,mission.tracks.keyOutput,Key output,കീ ഔട്ട്പുട്ട്,Section label inside each track
mission,mission.tracks.continueTo,Continue to {next} ↓,{അടുത്തത്} ↓-ലേക്ക് തുടരുക,Inter-track connector
mission,mission.cta.kicker,What comes next,അടുത്തതായി എന്ത് വരും?,
mission,mission.cta.title,The five tracks compile into a roadmap.,അഞ്ച് ട്രാക്കുകൾ ഒരു റോഡ്മാപ്പിലേക്ക് സംയോജിക്കുന്നു.,
mission,mission.cta.body,Each track produces an output. Each output unlocks the next milestone. Read the sequence and the measures we'll be held to.,ഓരോ ട്രാക്കും ഒരു ഔട്ട്‌പുട്ട് ഉത്പാദിപ്പിക്കുന്നു. ഓരോ ഔട്ട്‌പുട്ടും അടുത്ത നാഴികക്കല്ല് തുറക്കുന്നു. നമ്മൾ പാലിക്കേണ്ട ക്രമവും അളവുകളും വായിക്കുക.,
